type,value,description,threat_actor,campaign,confidence,source,tags
cve,CVE-2016-7855,,APT29-CozyBear,,high,,
cve,CVE-2017-0199,,APT29-CozyBear,,high,,
cve,CVE-2015-4902,,APT29-CozyBear,,high,,
sha256,555eafd28474cf01b5eea4648ec6b417d08d17aba151c5592c8843672812cffa,,APT29-CozyBear,,high,,
sha256,763d47f16a230f7c2d8c135b30535a52d66a1ed210596333ca1c3890d72e6efc,,APT29-CozyBear,,high,,
sha256,bbe435a3f0adb1ef4810d22ed74f5eba8907201cba01230b8c98dbe5963e11a8,,APT29-CozyBear,,high,,
md5,e255bc8f3c71adedd210ed3b7a2edf9e,,APT29-CozyBear,,high,,
md5,b6cacf3253cb41013db7b2434ab6ba5f,,APT29-CozyBear,,high,,
sha256,f9f8ca7fa979766c168d7162df572f3549c7af2e707e5a5ac8e06bd352bb7399,,APT29-CozyBear,,high,,
sha1,3c5b5909e022a9122588e311cc9bf5182612b84a,,APT29-CozyBear,,high,,
sha256,07c06492d3252236579097d5b114bbbea2173255b017fb26df7217ea986d6d10,,APT29-CozyBear,,high,,
sha256,0a5109479620c4c567928680f8e4be685a74e4b31efaa98811f3b54992697e2d,,APT29-CozyBear,,high,,
sha256,2f498a25049f89a809550a11e379912ac053eba881470ddd3a4e2b487a31c2d0,,APT29-CozyBear,,high,,
sha1,03d8dadf3647a57b335b96ea4e8a60c70d114243,,APT29-CozyBear,,high,,
sha256,2f1c2afdf17831e744841029bb5d5a3ea9fda569958303be03e50fb3a764913f,,APT29-CozyBear,,high,,
sha256,a0a67412968c10224e04bfbe32e6012b34e4a4ecc36fc72332101b90acec8fa4,,APT29-CozyBear,,high,,
sha256,b0604f58c55fdba4c4381e411689b29c031dbce3fb16c656a6b5fadb578deb76,,APT29-CozyBear,,high,,
sha1,623440754549721f1a81fb3fd3e6c3acfcec96be,,APT29-CozyBear,,high,,
sha256,d5eb88c1fe88e274a9212ff6647e8220f1bfbc250e0e891f60ea8a28afc9b19c,,APT29-CozyBear,,high,,
sha256,f70c4f5f417b7360a9edb493ac2bc982bc59a18eee064825c859ad889b0be167,,APT29-CozyBear,,high,,
ipv4,37.191.122.186,,APT29-CozyBear,,high,,
md5,75d5bb70923f6873c395176df7f168bf,,APT29-CozyBear,,high,,
ipv4,182.230.78.83,,APT29-CozyBear,,high,,
sha256,46299f696566a15638b4fdeffe91dc01ab1e4e07e980573c29531f1bc49d33f0,,APT29-CozyBear,,high,,
sha256,dc79c213a28493bb4ba2c8e274696a41530a5983c7a3586b31ff69a5291754e6,,APT29-CozyBear,,high,,
sha256,c7b01242d2e15c3da0f45b8adec4e6913e534849cde16a2a6c480045e03fbee4,,APT29-CozyBear,,high,,
