type,value,description,threat_actor,campaign,confidence,source,tags
cve,CVE-2018-15922,,APT39,,high,,
cve,CVE-2017-11882,,APT39,,high,,
cve,CVE-2018-20250,,APT39,,high,,
cve,CVE-2017-11774,,APT39,,high,,
sha256,27eb42279a3b74ee6cbd0f150035a45a7ae0e7b94b02483379ddf4932d3feaa6,,APT39,,high,,
sha256,b8e246f58d9094e7f4545bd608f143956de3b27960a1496e3753cdd6676c681b,,APT39,,high,,
sha256,88c947d0d0fddd1ea87f5b85982cf231c9c56e4f5e25fac405f608a1c28d8391,,APT39,,high,,
sha256,8847a73bbd9477be60685ce8ec8333db933892f4d7b729fcef01ac76600de9ff,,APT39,,high,,
sha256,f3b0ad96c8529399bd7117bd67cdf0297191476d3a81a60b147960306ae5f068,,APT39,,high,,
md5,9e98ecf93ca86751dbdb7049f6d24e9b,,APT39,,high,,
md5,fc105956b5b2d33411b2c0e362abb6b3,,APT39,,high,,
md5,b15196f34a69e6579532c69fefad7ac6,,APT39,,high,,
md5,e998fa518523ccc092c4167718b069cb,,APT39,,high,,
md5,e169c4d3430c8342d809055dc5f3373e,,APT39,,high,,
md5,3f3f39bacfe115df5b55c9ab06b93aeb,,APT39,,high,,
sha1,53b98f18d8f6bef74063e7b3e6d724c4195844f1,,APT39,,high,,
md5,54c166c313c684eaa54c0c861cc34987,,APT39,,high,,
md5,d661d2dd1c28efd4b4f7c9c70f763354,,APT39,,high,,
md5,dbc67d46cb7b6aa7406c979b248421c4,,APT39,,high,,
sha256,a1481b251328b50d268b815debd614f539039e6e7012c90b66daee717712d524,,APT39,,high,,
sha1,0c23f62ba98ebfa2c062c485e5704f193909e421,,APT39,,high,,
domain,saveingone.com,,APT39,,high,,
sha256,f845276dfd9d5753f659dab8c12a38eba1f71fdc16b6faae1316622dc9cab455,,APT39,,high,,
md5,f3d2c6084f09433a87f248726de288e0,,APT39,,high,,
md5,ce456b20f6cb4d5d74f00d976e2e7a91,,APT39,,high,,
md5,d363ecffbe6a0a62546051fc383399f4,,APT39,,high,,
md5,66cb23c223ec4d78d683292d1b928fbf,,APT39,,high,,
md5,46506fa669ec116da3d967c36eab7ba7,,APT39,,high,,
md5,fcc61b3a0277c47748a185dccccad5d8,,APT39,,high,,
md5,4d8e2fdb16877f693d8e90410f90a164,,APT39,,high,,
sha1,7219fed5ed9571bf2c025c7ed435893d7d4f7597,,APT39,,high,,
md5,8f848b67af0d6ad3dd3419c9d11c28c1,,APT39,,high,,
md5,486aa8849c173450911f886116f4b5d6,,APT39,,high,,
ipv4,91.210.107.120,,APT39,,high,,
domain,tleanalyser.com,,APT39,,high,,
domain,idc-team.net,,APT39,,high,,
md5,3153abb3ee1acea396b0f7b77c0162c9,,APT39,,high,,
sha256,d6ac1d0599bd4972263f0db15815f753dff1644095ba862897eaf50dec9a1f1c,,APT39,,high,,
md5,6269e8ae9d86c648c15e41c7d89509ab,,APT39,,high,,
md5,91e1793bd5f3f274ddb22b47662cb860,,APT39,,high,,
md5,0d6d385354584264e2b37ff3a199ea04,,APT39,,high,,
md5,de8986682ab25d98448e688506250b94,,APT39,,high,,
ipv4,185.165.116.47,,APT39,,high,,
md5,426351383dfe8f88a0959a9d5e8c43c7,,APT39,,high,,
md5,50ded657ff5a1c80d736fe3b80beb87f,,APT39,,high,,
md5,9f7c280b20d021f0a0984d1ad0aeba41,,APT39,,high,,
md5,59c2c1c6451417f054efaee32416c652,,APT39,,high,,
md5,eee655c5522267d63314a0b20162d619,,APT39,,high,,
md5,43124f6d418b086f3107a8cb708c3d2b,,APT39,,high,,
md5,2f01092e9cd49448b0de7da48e545682,,APT39,,high,,
md5,45045fa9d428f29e8a3a988048e3aff1,,APT39,,high,,
