type,value,description,threat_actor,campaign,confidence,source,tags
ipv4,ghayoorfilmstudio.com,2024 Olayları,BitterAPT,2024_DefenseSector,high,,
ipv4,http://72.18.215.1/svchost.php,Potential C2 Server,BitterAPT,2024_DefenseSector,high,,
ipv4,academymusica.com,2024 Olayları,BitterAPT,2024_DefenseSector,high,,
ipv4,samsnewlooker.com,2024,BitterAPT,2024_DefenseSector,high,,
ipv4,jacknwoods.com,Staging Area for Malware,BitterAPT,2024_DefenseSector,high,,
ipv4,38.180.142.228,IP-based C2 Server,BitterAPT,2024_DefenseSector,high,,
ipv4,96.9.215.155,IP-based C2 Server,BitterAPT,2024_DefenseSector,high,,
sha256,SHA256: 53a653aae9678075276bdb8ccf5eaff947f9121f73b8dcf24858c0447922d0b1,November 2024 RAR Archive,BitterAPT,2024_DefenseSector,high,,
sha256,SHA256: f6c77098906f5634789d7fd7ff294bfd95325d69f1be96be1ee49ff161e07733,November 2024 LNK File Suspected Bait,BitterAPT,2024_DefenseSector,high,,
sha256,SHA256: 10cec5a84943f9b0c635640fad93fd2a2469cc46aae5e43a4604c903d139970f,September 2024 wmRAT Sample,BitterAPT,2024_DefenseSector,high,,
sha256,SHA256: c7ab300df27ad41f8d9e52e2d732f95479f4212a3c3d62dbf0511b37b3e81317,October 2024 MiyaRAT Sample,BitterAPT,2024_DefenseSector,high,,
sha256,SHA256: cb4a280f54c56d250c98124a88e80c46ccd82cb77ff0951f150f01e02791ca30,Malicious Geopolitics Seminar,BitterAPT,2024_DefenseSector,high,,
url,http://72.18.215.1/file-content/m619/Details.pdf.rar,VirusTotal Link,BitterAPT,2024_DefenseSector,high,,
url,http://72.18.215.1/Downloads/Document.lnk,VirusTotal Link,BitterAPT,2024_DefenseSector,high,,
sha256,Suggestion Points Seminar on Geopolitics Shifts in the Asia-Pacificfdp.msc,SHA256: 80372c1903e58d3a27960e469084892e,BitterAPT,2024_DefenseSector,high,,
sha256,02 mfa_file_2024.pdf.chm,SHA256: 4b91ab01ad75b5485d4f8d33fa3c0aff,BitterAPT,2024_DefenseSector,high,,
ipv4,iboxencentrum.com,Task Name: ChromeCrashReport,BitterAPT,2024_DefenseSector,high,,
sha256,E-Invitation_Letter_Brief_details_of_Program.msc,SHA256: 85d81c341d44e33834282da279133a8e,BitterAPT,2024_DefenseSector,high,,
ipv4,bakuackermannfashions.com,Schedule Task Name: WindowsDefenderCacheMaintenance,BitterAPT,2024_DefenseSector,high,,
