type,value,description,threat_actor,campaign,confidence,source,tags
cve,CVE-2015-0016,,EquationGroup,,high,,
cve,CVE-2017-0144,,EquationGroup,,high,,
cve,CVE-2016-7201,,EquationGroup,,high,,
cve,CVE-2016-0167,,EquationGroup,,high,,
cve,CVE-2015-6132,,EquationGroup,,high,,
cve,CVE-2015-5119,,EquationGroup,,high,,
cve,CVE-2014-4148,,EquationGroup,,high,,
md5,91d04fd26dda91a90fa4169cb251d8ab,,EquationGroup,,high,,
md5,9347abda2aaaefb40aa1e4034a6ded58,,EquationGroup,,high,,
md5,94980f93bd9019d84b42104615e86b79,,EquationGroup,,high,,
md5,9672437e1dc219ca8a4ee847bed25d0d,,EquationGroup,,high,,
md5,996013c565b1f0ae68418d09d712d72b,,EquationGroup,,high,,
md5,a1fc74b7fb105252aba222f5099fbd04,,EquationGroup,,high,,
md5,a6a6d7b87656a0590a12c3ebaa678740,,EquationGroup,,high,,
md5,a88f606a45cea11909fcedadc8945ba7,,EquationGroup,,high,,
md5,a966668feca72d8dddf3c737d4908a29,,EquationGroup,,high,,
md5,b29d5a6445140ca3bbdef4f05ea17fd5,,EquationGroup,,high,,
md5,b458e336911f092177a64d07b0bf1c76,,EquationGroup,,high,,
md5,b52439640b7f0e0273f0d15bb3af6198,,EquationGroup,,high,,
md5,bb93392daece237207b6e32fb5fb4f00,,EquationGroup,,high,,
md5,e6cc5ba724854702abc7f530d1a8f19c,,EquationGroup,,high,,
md5,ea138d32ce4371d0921cb9f0daead4cb,,EquationGroup,,high,,
md5,f4ac3aabb25e724cc5af9280d07dfd25,,EquationGroup,,high,,
md5,fd7de2b8572f35f0f6f58bba6ff2360e,,EquationGroup,,high,,
md5,fed5ff0f9460fea41a8278fffa4c2ddb,,EquationGroup,,high,,
md5,fee3bc01a67339e8eceb9514d8be629c,,EquationGroup,,high,,
md5,fee8d182e6643099523dab41ba1c95b5,,EquationGroup,,high,,
sha1,1c679f37ea2b9806503dad07ba3f55ff14c058d9,,EquationGroup,,high,,
sha1,53c66117a6f17e2d76b7a8a658f1ff0773516081,,EquationGroup,,high,,
sha1,9b85fa3c033dcf026f06a6393031611aa32a40b2,,EquationGroup,,high,,
sha256,45e3c07a2854aec4340a23690cf901b50fe2618b2c168ee4294386e26ec76def,,EquationGroup,,high,,
