type,value,description,threat_actor,campaign,confidence,source,tags
sha256,a4913f52bd90add74b796852e2a1d9acb1d6ecffe359b5710c59c82af59483ec,DHCSpy Android spyware sample,MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,spyware;android;apk
sha256,48d1fd4ed521c9472d2b67e8e0698511cea2b4141a9632b89f26bd1d0f760e89,DHCSpy Android spyware sample,MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,spyware;android;apk
domain,earthvpn.org,Distribution site and C2 domain (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;distribution;vpn-lure
domain,r1.earthvpn.org,C2 config server (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;config
domain,r2.earthvpn.org,C2 config server (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;config
domain,comodo-vpn.com,Distribution site (Comodo VPN variant),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;distribution;vpn-lure
domain,it1.comodo-vpn.com,C2 config server (Comodo VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;config
ipv4,5.255.118.39,SFTP exfiltration server (port 4793),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,exfiltration;sftp
url,https://r1.earthvpn.org:3413/api/v1,C2 config endpoint (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;api;config
url,https://r2.earthvpn.org:3413/api/v1,C2 config endpoint (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;api;config
url,https://r1.earthvpn.org:1254/,C2 alternate port (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;config
url,https://r2.earthvpn.org:1254/,C2 alternate port (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;config
url,https://it1.comodo-vpn.com:1953/,C2 endpoint (Comodo VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;config
url,https://it1.comodo-vpn.com:1950/,C2 endpoint (Comodo VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,c2;config
filename,dsbc.db,On-device command/order SQLite database,MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,artifact;database
filename,vsbc.db,On-device unused usage tracking database,MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,artifact;database
filename,Catalog.apk,Auto-update APK filename,MuddyWater,2023-07_DHCSpy,medium,Shindan/Randorisec,update;apk
filename,com.earth.earth_vpn,Android package name (Earth VPN),MuddyWater,2023-07_DHCSpy,high,Shindan/Randorisec,package;android
username,hossein,Developer identifier found in APK compilation traces,MuddyWater,2023-07_DHCSpy,medium,Shindan/Randorisec,attribution;developer
domain,kinneretacil.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,salary.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,gcare.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,rimonnet.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,alltrans.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,megolan.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,bgu.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,fbcsoft.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,cnsmportal.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,alkan.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,getter.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,ksa1.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,filecloud.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,nour.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,airpazfly.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,cairoairport.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,silbermintz1.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,smartcloudcompany.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,onlinemailerservices.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,smtpcloudapp.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,softwarehosts.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,airpaz.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,airpazflys.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,fileuploadcloud.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
domain,downloadfile.egnyte.com,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
url,https://shorturl.at/NCxJk,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
url,https://shorturl.at/bYqUx,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
url,https://ws.onehub.com/files/bbmiio1c,High confidence IOC - Used by MuddyWater APT group (2023-2024),MuddyWater,2024-09_Campaign,high,,
