type,value,description,threat_actor,campaign,confidence,source,tags
sha256,44fc9e306763774b50b61fc7487aa1d219aa288aefa201119c7bc278e17600a8,Tornado v51 WinRAR exploit RAR file,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tornado;exploit;winrar
sha256,5db4ed7d07ab028ab6ceba8efec5f667d86a419020d2a8c86e90a3125aa31bb9,Tornado v51 SFX file (tozihat.doc),PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tornado;sfx
sha256,8DB20544F280955ED3EF3C42DC8423E3000E244FC7C8F0E3A7567FA48F7A15D9,Tornado v51 main DLL - AuthFWSnapin.dll,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tornado;backdoor
sha256,B937024B7484B26D09BA8130CC4AB04600DC18C976BB0C7724A063F1FC6F0D77,Tornado installer DLL - reg7989.dll,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tornado;installer
sha256,CB6ED0DD5DBC2E34AE36DD22B9522F7EEC94BBFDA2DCDA7425736656279F8CDF,Tonnerre v14 exe,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tonnerre;backdoor
sha256,30C20ADA243B7E476E006DEC94876BDEECE4F8ACA12A4CB6CF962C80F1A6EE3C,Tonnerre v15 exe,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tonnerre;backdoor
sha256,D9DFC8A8E3E259A517A91E2E91E3A1D6EF1D5B0886E6729BF897D6EF1B2DE722,Tonnerre v17 exe,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tonnerre;backdoor
sha256,C8583FDDF668808E31F993FF6BCFC6F8BA8B4C2C0C4EA51D4CCC6F5D311B6C90,Tonnerre v17 SFX,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,tonnerre;sfx
sha256,43ccc2620229d88d5a6ca2b064da0554ec3c3cc29a097e7a2d97283257cfae69,Foudre v34 SFX,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;sfx
sha256,0bfc11c6ba57fdaa8b865555d80d8f7d7b1d0f41a23a277885198b3113c945d9,Foudre v34 SFX,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;sfx
sha256,Cf64bf78ce570f8085110defc8ec32ff4f01c7359723510b9d1923fd93d12240,Foudre v34 SFX,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;sfx
sha256,FBB2AC0D07B84068AA35376CC994039F9FC1D2341643BC2BF268D65AB11ECBE3,Foudre v34 SFX,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;sfx
sha256,2c46406fb9111e0e4d982de54f335ae2900cdc39490d58f765cd5014153b3e12,Foudre v34 SFX,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;sfx
sha256,52abb57bf6f9db815b3ddf6241e21d4096f36eb998bb51e728bbe68c0f8e8e15,Foudre v34 DLL (d232),PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;dll
sha256,fa95a09e538b8c186a3239e3ff80ec9054b50aab80c624e75563ace4e60e31da,Foudre v34 DLL (d463),PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;dll
sha256,F54cfe296186644d0fed271c469af1ef9b6156affe9e030e7b83b8de097eb1e7,Foudre v34 DLL (D665),PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;dll
sha256,6f976a685ae838a7062fb4f152c6c77c42168b78b9aadd4278ec1c19f9bc1055,Foudre v34 DLL (D955),PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;dll
sha256,12847DC6DFD86603E8F0085AE561B4B2E3089E5414E49628F7C411483C7B5CE8,Foudre v34 DLL,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;dll
sha256,d3d8b79f86f152338aabeadfaf35ba2e43f82aa4bfa29ff70b59702b455fa6a6,Foudre v34 Loader - conf8830.dll,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;loader
sha256,15dd41ec1bdaabb741e8cc6481e0a98831798ac4e93c2513cdbd00c51241ffb7,Foudre Office infection doc,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;office;maldoc
sha256,52e3a856548825ec0a3d6630e881ff4f79d2a11bc3420a73d42e161fabed53d9,Foudre Office infection doc,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,foudre;office;maldoc
sha256,C1896C20E1E397F8C59DBEAEF37CC765D401C8F6D933B140BE774F0FBF118EF4,ZZ Stealer ZIP - Enrich-ASUS strike-back,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,zz-stealer;strike-back
sha256,8abfe36182573e1ba1e6e0d227d60d83002191b7e30a88064c073814b0baf318,ZZ Stealer ZIP - Vladimir-WIN11 strike-back,PrinceOfPersia,2025-12_Tornado,high,SafeBreach,zz-stealer;strike-back
