type,value,description,threat_actor,campaign,confidence,source,tags
domain,abecopiers.com,RedDelta,RedDelta,,high,,
domain,alicevivianny.com,RedDelta,RedDelta,,high,,
domain,aljazddra.com,RedDelta,RedDelta,,high,,
domain,alphadawgrecords.com,RedDelta,RedDelta,,high,,
domain,alvinclayman.com,RedDelta,RedDelta,,high,,
domain,antioxidantsnews.com,RedDelta,RedDelta,,high,,
domain,armzrace.com,RedDelta,RedDelta,,high,,
domain,artbykathrynmorin.com,RedDelta,RedDelta,,high,,
domain,atasensors.com,RedDelta,RedDelta,,high,,
domain,bkller.com,RedDelta,RedDelta,,high,,
domain,bonuscuk.com,RedDelta,RedDelta,,high,,
domain,bramjtop.com,RedDelta,RedDelta,,high,,
domain,buyinginfo.org,RedDelta,RedDelta,,high,,
domain,calgarycarfinancing.com,RedDelta,RedDelta,,high,,
domain,comparetextbook.com,RedDelta,RedDelta,,high,,
domain,conflictaslesson.com,RedDelta,RedDelta,,high,,
domain,councilofwizards.com,RedDelta,RedDelta,,high,,
domain,crappienews.com,RedDelta,RedDelta,,high,,
domain,createcopilot.com,RedDelta,RedDelta,,high,,
domain,cuanhuaanbinh.com,RedDelta,RedDelta,,high,,
domain,dmfarmnews.com,RedDelta,RedDelta,,high,,
domain,electrictulsa.com,RedDelta,RedDelta,,high,,
domain,elevateecom.com,RedDelta,RedDelta,,high,,
domain,epsross.com,RedDelta,RedDelta,,high,,
domain,erpdown.com,RedDelta,RedDelta,,high,,
domain,estmongolia.com,RedDelta,RedDelta,,high,,
domain,financialextremed.com,RedDelta,RedDelta,,high,,
domain,finasterideanswers.com,RedDelta,RedDelta,,high,,
domain,flaworkcomp.com,RedDelta,RedDelta,,high,,
domain,flfprlkgpppg.shop,RedDelta,RedDelta,,high,,
domain,getfiledown.com,RedDelta,RedDelta,,high,,
domain,getupdates.net,RedDelta,RedDelta,,high,,
domain,glassdoog.org,RedDelta,RedDelta,,high,,
domain,globaleyenews.com,RedDelta,RedDelta,,high,,
domain,goclamdep.net,RedDelta,RedDelta,,high,,
domain,goodrapp.com,RedDelta,RedDelta,,high,,
domain,gulfesolutions.com,RedDelta,RedDelta,,high,,
domain,hajjnewsbd.com,RedDelta,RedDelta,,high,,
domain,hisnhershealthynhappy.com,RedDelta,RedDelta,,high,,
domain,homeimageidea.com,RedDelta,RedDelta,,high,,
domain,howtotopics.com,RedDelta,RedDelta,,high,,
domain,importsmall.com,RedDelta,RedDelta,,high,,
domain,indiinfo.com,RedDelta,RedDelta,,high,,
domain,infotechtelecom.com,RedDelta,RedDelta,,high,,
domain,inhller.com,RedDelta,RedDelta,,high,,
