type,value,description,threat_actor,campaign,confidence,source,tags
cve,CVE-2021-35464,,ScatteredSpider,,high,,
cve,CVE-2015-2291,,ScatteredSpider,,high,,
cve,CVE-2022-41328,,ScatteredSpider,,high,,
cve,CVE-2020-1472,,ScatteredSpider,,high,,
cve,CVE-2021-44228,,ScatteredSpider,,high,,
cve,CVE-2022-30190,,ScatteredSpider,,high,,
sha256,3ea2d190879c8933363b222c686009b81ba8af9eb6ae3696d2f420e187467f08,,ScatteredSpider,,high,,
ipv4,104.207.153.50,,ScatteredSpider,,high,,
ipv4,45.32.66.91,,ScatteredSpider,,high,,
ipv4,195.35.10.222,,ScatteredSpider,,high,,
ipv4,104.238.141.119,,ScatteredSpider,,high,,
ipv4,93.115.7.238,,ScatteredSpider,,high,,
ipv4,91.242.237.100,,ScatteredSpider,,high,,
ipv4,89.46.114.164,,ScatteredSpider,,high,,
ipv4,68.235.43.21,,ScatteredSpider,,high,,
ipv4,68.235.43.20,,ScatteredSpider,,high,,
ipv4,67.43.235.122,,ScatteredSpider,,high,,
ipv4,62.182.98.170,,ScatteredSpider,,high,,
ipv4,51.89.138.221,,ScatteredSpider,,high,,
ipv4,51.210.161.12,,ScatteredSpider,,high,,
ipv4,23.106.248.251,,ScatteredSpider,,high,,
ipv4,198.54.133.52,,ScatteredSpider,,high,,
ipv4,198.44.136.180,,ScatteredSpider,,high,,
ipv4,194.37.96.188,,ScatteredSpider,,high,,
ipv4,193.37.255.114,,ScatteredSpider,,high,,
ipv4,188.214.129.7,,ScatteredSpider,,high,,
ipv4,185.56.80.28,,ScatteredSpider,,high,,
ipv4,185.45.15.217,,ScatteredSpider,,high,,
ipv4,185.195.19.207,,ScatteredSpider,,high,,
ipv4,185.181.102.18,,ScatteredSpider,,high,,
ipv4,185.163.109.66,,ScatteredSpider,,high,,
ipv4,185.123.143.217,,ScatteredSpider,,high,,
ipv4,185.123.143.205,,ScatteredSpider,,high,,
ipv4,185.123.143.201,,ScatteredSpider,,high,,
ipv4,185.123.143.197,,ScatteredSpider,,high,,
ipv4,185.120.144.101,,ScatteredSpider,,high,,
ipv4,173.239.204.134,,ScatteredSpider,,high,,
ipv4,173.239.204.133,,ScatteredSpider,,high,,
ipv4,173.239.204.132,,ScatteredSpider,,high,,
ipv4,173.239.204.131,,ScatteredSpider,,high,,
ipv4,173.239.204.130,,ScatteredSpider,,high,,
ipv4,173.239.204.129,,ScatteredSpider,,high,,
ipv4,143.244.214.243,,ScatteredSpider,,high,,
ipv4,142.93.229.86,,ScatteredSpider,,high,,
ipv4,89.46.114.66,,ScatteredSpider,,high,,
ipv4,45.91.21.61,,ScatteredSpider,,high,,
ipv4,217.138.222.94,,ScatteredSpider,,high,,
ipv4,198.54.133.45,,ScatteredSpider,,high,,
ipv4,185.195.19.206,,ScatteredSpider,,high,,
