type,value,description,threat_actor,campaign,confidence,source,tags
sha256,c87e8d369a9718304e253ebe24da5267bf3a39f0b456c4191029b6be4bc04a42,ZIP file: Dispatch of the APC HMLTV technical team,SideWinder,,high,,
url,https://mailnepalarmymil.mods.email/dispachofapc-46703841?yui=,Suspicious URL - Nepal Army themed,SideWinder,,high,,
md5,b8be125e6f496b0d5856fd4c2b59d778,LNK file: Appendix.jpg.lnk,SideWinder,,high,,
md5,e10c8df203a7a195a44ee629fcf0c756,LNK file: Bio Data Form.jpg.lnk,SideWinder,,high,,
md5,73a0170ea882989f6ffc3b4726a3ee56,LNK file: Dispatch of the APC HMLTV technical team,SideWinder,,high,,
md5,d923a3adf955f76227c49b7544099ce0,ZIP file: CATIC Training Day to Bangladesh,SideWinder,,high,,
url,https://mailafdgovbd.163inc.org/b965f3-catictrainingdayforbd/hta?q=0,Suspicious URL - Bangladesh Air Force themed,SideWinder,,high,,
md5,beccecea59ddc553597dd5099ba94f6b,LNK file: CATIC Training Day to Bangladesh,SideWinder,,high,,
cve,CVE-2021-40444,,SideWinder,,high,,
domain,dns1.indianblog.xyz,,SideWinder,,high,,
domain,reviewassignment.online,,SideWinder,,high,,
domain,reviewassignment.in,,SideWinder,,high,,
ipv4,67.223.118.135,,SideWinder,,high,,
sha256,d777bcb6fba73faf96cb422383404c3b81a8afa5aebbc8ed70076081de7daa0c,,SideWinder,,high,,
sha256,bc1acdca196f1ff72722243be2afe1429b88122afb9d4852d6d6e57689411d3d,,SideWinder,,high,,
sha256,a31f222fc283227f5e7988d1ad9c0aecd66d58bb7b4d8518ae23e110308dbf91,,SideWinder,,high,,
sha256,9f1f11a708d393e0a4109ae189bc64f1f3e312653dcf317a2bd406f18ffcc507,,SideWinder,,high,,
sha256,93fb036e65c0683af5ffb98e2b61e30499dec068a4e15bf3bec8066d3e246852,,SideWinder,,high,,
sha256,902e087711ab8e612bd7cea9864bbadbe20a3500ba57f26f6eeb0b5b20b803ec,,SideWinder,,high,,
sha256,81038a217237afd16d80da7fc9219cbd145f9698bb512e2b625559a47ba73fec,,SideWinder,,high,,
sha256,4a81bb3f9f9fe8a10002c043210ff537c2fd4a879a694d0f18468c70eaf65cfe,,SideWinder,,high,,
sha256,37f20f232aa86316901baccbb44af1668b1d868c1ca9aba8fcb36584352b3e0f,,SideWinder,,high,,
sha1,e10361a11f8a7f232ac3cb2125c1875a0a69a3e4,,SideWinder,,high,,
sha1,e03e89d6f3defa8a0d670910f3164b899ece35a5,,SideWinder,,high,,
sha1,d23489bf492839dd9095a332c59a450cb840f401,,SideWinder,,high,,
sha1,bcfac98117d9a52a3196a7bd041b49d5ff0cfb8c,,SideWinder,,high,,
sha1,af707ed85e03449729e6b04bcfb4c176d71faa6c,,SideWinder,,high,,
sha1,9618a1d588746ba571be3cfef7d864ffd840d020,,SideWinder,,high,,
sha1,868570ac0ff9ea4e281b2ef4176619aabf6bf59b,,SideWinder,,high,,
sha1,47451a404a8acec6b5cee7e0c5cbc1bb19f1fa59,,SideWinder,,high,,
sha1,36d244241c9ed6cb526d706ab49c2324037fa48c,,SideWinder,,high,,
md5,b20cb8caf27d4508f6d1a51a92df49a3,,SideWinder,,high,,
md5,8a71e3c45d8fa81d90ab56681de8e57c,,SideWinder,,high,,
md5,80ac09458e5e5fbd8e500ef0f7313bd2,,SideWinder,,high,,
md5,7bdbd180c081fa63ca94f9c22c457376,,SideWinder,,high,,
md5,6e02fe7c188c417802008e147c248eb1,,SideWinder,,high,,
md5,614896fea882b17b193b41d4e3e593ac,,SideWinder,,high,,
md5,5fc7a9d515067008095a439837881713,,SideWinder,,high,,
md5,565cac3dffde44fa487014e69b13140a,,SideWinder,,high,,
md5,2915b3f8b703eb744fc54c81f4a9c67f,,SideWinder,,high,,
cve,CVE-2024-21893,,SideWinder,,high,,
