type,value,description,threat_actor,campaign,confidence,source,tags
domain,zhydromet[.]com,Silver Dragon C2 domain (Cobalt Strike),SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cobalt-strike
domain,ampolice[.]org,Silver Dragon C2 domain (Cobalt Strike),SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cobalt-strike
domain,onedriveconsole[.]com,Silver Dragon C2 domain (Cobalt Strike DNS tunneling),SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cobalt-strike;dns-tunnel
domain,copilot-cloud[.]net,Silver Dragon C2 domain (Cobalt Strike),SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cobalt-strike
domain,drivefrontend.pa-clients.workers[.]dev,Silver Dragon C2 domain,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cloudflare-workers
domain,revitpourtous[.]com,Silver Dragon C2 domain (Cobalt Strike),SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cobalt-strike
domain,wikipedla[.]blog,Silver Dragon C2 domain (Cobalt Strike),SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cobalt-strike
domain,protacik[.]com,Silver Dragon C2 domain,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2
domain,oicm[.]org,Silver Dragon C2 domain,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2
domain,mindssurpass[.]com,Silver Dragon C2 domain,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2
domain,exchange4study[.]com,Silver Dragon C2 domain (Cobalt Strike DNS tunneling),SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2;cobalt-strike;dns-tunnel
domain,splunkds[.]com,Silver Dragon C2 domain,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2
domain,bigflx[.]net,Silver Dragon C2 domain,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,c2
sha256,4f93be0c46a53701b1777ab8df874c837df3d8256e026f138d60fc2932e569a8,GearDoor backdoor sample,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,geardoor;backdoor;dotnet;google-drive-c2
sha256,7f89a4d5af47bc00a9ad58f0bcbe8a7be2662953dcd03f0e881cc5cbf6b7bca8,GearDoor backdoor sample,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,geardoor;backdoor;dotnet;google-drive-c2
sha256,bcbe2f0a8134c0e7fce18d0394ababc1d910e6f7b77b8c07643434cd14f4c5d6,SSHcmd utility,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,sshcmd;utility;dotnet;ssh
sha256,44e769efed3e4f9f04c52dcd13f15cead251a1a08827a2cb6ea68427522c7fbb,SilverScreen screen monitor,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,silverscreen;monitor;dotnet;screenshot
sha256,85a03d2e74ae84093a74699057693d11e5c61f85b62e741778cbc5fc9f89022f,SilverScreen screen monitor,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,silverscreen;monitor;dotnet;screenshot
sha256,51684a0e356513486489986f5832c948107ff687c8501d64846cdc4307429413,Phishing LNK attachment,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,phishing;lnk;uzbekistan
sha256,166e777cb72a7c4e126f8ed97e0a82e7ca9e87df7793fea811daf34e1e7e47a6,Phishing LNK attachment,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,phishing;lnk;uzbekistan
sha256,948468aba5c851952ebe56a5bf37904ed83a6c8cb520304db6938d79892f0a1b,Phishing LNK attachment,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,phishing;lnk;uzbekistan
sha256,e3b016f2fc865d0f53f635f740eb0203626517425ed9a2908058f96a3bcf470d,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
sha256,967b5c611d304385807ea2d865fa561c15cde0473dd63e768679a4f29f0e4563,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
sha256,43f8f94ca5aa0af7bfb0cc1d2f664a46500a161b2d082b48b516d084ef485348,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
sha256,3128bdb8efaaa04c0ba96337252f4cc2dc795021cbc410f74ace9dde958bac1d,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
sha256,b93560c4d18120e113fb8b04a8aa05f66a12116d1fbf18a93186f6314381e97e,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
sha256,ddaca57f3d5f4986da052ca172631b351410d6f5831f6af351699c6201cc011b,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
sha256,c4de1f1a8cb3b0392802ee56096ddb25b6f51c51350ce7c45e14d8c285765300,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
sha256,7384462d420bdc9683a4cac2a8ad19353a2aa7d2244c91e9182345777e811e33,BamboLoader shellcode loader,SilverDragon,2026-03_SoutheastAsia-Europe,high,CheckPoint-Mar2026,bamboloader;loader;cpp;rc4;lznt1
