type,value,description,threat_actor,campaign,confidence,source,tags
domain,upd7a.com,domain names,Storm-1811,,high,,
domain,upd7.com,domain names,Storm-1811,,high,,
domain,upd9.com,domain names,Storm-1811,,high,,
domain,upd5.pro,domain names,Storm-1811,,high,,
domain,antispam3.com,domain names,Storm-1811,,high,,
domain,antispam2.com,domain names,Storm-1811,,high,,
sha256,71d50b74f81d27feefbc2bc0f631b0ed7fcdf88b1abbd6d104e66638993786f8,sha-256,Storm-1811,,high,,
sha256,0f9156f91c387e7781603ed716dcdc3f5342ece96e155115708b1662b0f9b4d0,sha-256,Storm-1811,,high,,
sha256,1ad05a4a849d7ed09e2efb38f5424523651baf3326b5f95e05f6726f564ccc30,sha-256,Storm-1811,,high,,
sha256,93058bd5fe5f046e298e1d3655274ae4c08f07a8b6876e61629ae4a0b510a2f7,sha-256,Storm-1811,,high,,
sha256,1cb1864314262e71de1565e198193877ef83e98823a7da81eb3d59894b5a4cfb,sha-256,Storm-1811,,high,,
domain,instance-olqdnn-relay.screenconnect.com,screenconnect relay,Storm-1811,,high,,
domain,greekpool.com,netsupport c2,Storm-1811,,high,,
domain,zziveastnews.com,cobalt strike beacon c2,Storm-1811,,high,,
domain,realsepnews.com,cobalt strike beacon c2,Storm-1811,,high,,
