type,value,description,threat_actor,campaign,confidence,source,tags
sha256,2d4791c66db346075cc3811dedc19b66cdda13d8deb7ef3c5aa44843e8e61597,,CobaltStrike,,high,,
sha256,ac962605550d120d4d38ba87a10c87027c7ccb3f430475c0104646183bc6f825,,CobaltStrike,,high,,
ipv4,122.51.158.84,,CobaltStrike,,high,,
ipv4,47.109.149.105,,CobaltStrike,,high,,
ipv4,81.70.34.148,,CobaltStrike,,high,,
ipv4,119.167.229.212,,CobaltStrike,,high,,
domain,www.igk66.com,,CobaltStrike,,high,,
domain,www.jzj.cn,,CobaltStrike,,high,,
domain,www.jzzl.com,,CobaltStrike,,high,,
domain,www.xiaoluoli.com,,CobaltStrike,,high,,
domain,www.xxzxzz.com,,CobaltStrike,,high,,
ipv4,1.14.148.85,,CobaltStrike,,high,,
ipv4,38.207.178.19,,CobaltStrike,,high,,
domain,pull.quens.top,,CobaltStrike,,high,,
ipv4,8.223.29.254,,CobaltStrike,,high,,
ipv4,124.71.36.234,,CobaltStrike,,high,,
ipv4,124.222.72.51,,CobaltStrike,,high,,
ipv4,121.43.124.191,,CobaltStrike,,high,,
ipv4,1.94.18.57,,CobaltStrike,,high,,
ipv4,47.109.98.153,,CobaltStrike,,high,,
ipv4,102.134.54.216,,CobaltStrike,,high,,
ipv4,106.14.126.40,,CobaltStrike,,high,,
ipv4,43.136.96.90,,CobaltStrike,,high,,
ipv4,116.177.225.240,,CobaltStrike,,high,,
ipv4,47.109.68.159,,CobaltStrike,,high,,
ipv4,123.57.186.159,,CobaltStrike,,high,,
ipv4,124.220.6.158,,CobaltStrike,,high,,
ipv4,185.196.8.93,,CobaltStrike,,high,,
ipv4,47.108.238.83,,CobaltStrike,,high,,
domain,service-5ioiw8kp-1252325407.cd.tencentapigw.com,,CobaltStrike,,high,,
ipv4,1.117.64.149,,CobaltStrike,,high,,
ipv4,103.44.238.143,,CobaltStrike,,high,,
ipv4,156.238.234.187,,CobaltStrike,,high,,
ipv4,8.137.93.215,,CobaltStrike,,high,,
ipv4,82.157.137.77,,CobaltStrike,,high,,
domain,service-66u8gnwp-1312435925.bj.tencentapigw.com.cn,,CobaltStrike,,high,,
domain,service-rbhmmatk-1311693393.hk.tencentapigw.cn,,CobaltStrike,,high,,
ipv4,113.45.218.129,,CobaltStrike,,high,,
ipv4,116.204.42.20,,CobaltStrike,,high,,
ipv4,49.235.118.195,,CobaltStrike,,high,,
ipv4,107.173.11.18,,CobaltStrike,,high,,
domain,cdn.cuntcloud.com,,CobaltStrike,,high,,
ipv4,85.215.213.71,,CobaltStrike,,high,,
ipv4,78.177.255.151,,CobaltStrike,,high,,
ipv4,150.158.20.197,,CobaltStrike,,high,,
ipv4,119.91.95.88,,CobaltStrike,,high,,
ipv4,103.146.22.197,,CobaltStrike,,high,,
ipv4,47.242.30.202,,CobaltStrike,,high,,
ipv4,192.227.245.189,,CobaltStrike,,high,,
ipv4,47.115.53.175,,CobaltStrike,,high,,
ipv4,8.142.93.103,,CobaltStrike,,high,,
ipv4,120.55.241.243,,CobaltStrike,,high,,
ipv4,38.107.146.131,,CobaltStrike,,high,,
ipv4,36.138.173.47,,CobaltStrike,,high,,
ipv4,134.122.191.245,,CobaltStrike,,high,,
ipv4,195.245.241.222,,CobaltStrike,,high,,
sha256,60d2e4053c1c9db5f168f33b7b71a246d61d5366c43af7801342d4ed6e7d048d,,CobaltStrike,,high,,
md5,4c648967aeac81b18b53a3cb357120f4,,CobaltStrike,,high,,
sha256,a31f222fc283227f5e7988d1ad9c0aecd66d58bb7b4d8518ae23e110308dbf91,,CobaltStrike,,high,,
domain,onyangdol.site,,CobaltStrike,,high,,
domain,thevegan8.shop,,CobaltStrike,,high,,
sha256,83545b07d74087acd8408d7810cafdb6c2200a72ae7dd990af40b082ad533368,,CobaltStrike,,high,,
sha256,1fa0222e5ae2b891fa9c2dad1f63a9b26901d825dc6d6b9dcc6258a985f4f9ab,,CobaltStrike,,high,,
sha256,08fa6aaf064470dbfac7894469457b2d78541adccba3f1bb278dd4c3f936131a,,CobaltStrike,,high,,
sha1,bcfac98117d9a52a3196a7bd041b49d5ff0cfb8c,,CobaltStrike,,high,,
md5,7bdbd180c081fa63ca94f9c22c457376,,CobaltStrike,,high,,
sha256,3d27f5ef39dec06f86331e298842bad015f9f0ee0c608e408c7d9b0daef210f6,,CobaltStrike,,high,,
sha256,ece5d03dbc48cc6126fb1757b3951b9aedfad5a007ebddd4e5f98eb1ff230946,,CobaltStrike,,high,,
sha256,9a740e6e52b5a2658ff50059f7147412d2586f6fc17598fde31d73948e65c479,,CobaltStrike,,high,,
sha256,9ce70737c6ab2a57115e1028ca6c7536fd39236f0aa7a7de09f33521c6e1d0ac,,CobaltStrike,,high,,
sha256,83f511d4012c1de5ae81ea0f24ffc68af41aec1d7535fcce1d0224757654bfc1,,CobaltStrike,,high,,
ipv4,134.175.229.118,,CobaltStrike,,high,,
ipv4,143.198.83.253,,CobaltStrike,,high,,
ipv4,80.251.213.227,,CobaltStrike,,high,,
ipv4,221.227.232.106,,CobaltStrike,,high,,
ipv4,192.210.194.42,,CobaltStrike,,high,,
sha256,45b6a1a61dc109144cf44111b6733d3fa5024aa7952815ae8742ba2f81e874ea,,CobaltStrike,,high,,
sha256,c9329becbecc5e4599f4c92e5310e7de7d1113bcc07561136662597251b9f33f,,CobaltStrike,,high,,
sha256,ca9612519daf52d961ec1c774fa991c6f5cbe39371d5ef8d93145ba7edaf7d01,,CobaltStrike,,high,,
sha256,7c4efca16db1c9111095d9307f7cbccee8d78977c353985416e9cdb39364b588,,CobaltStrike,,high,,
sha256,c61c497fbbf5e1a4b624875c2c038afd2b330a818025e5ebd120328ae4bc1ff1,,CobaltStrike,,high,,
ipv4,150.158.113.86,,CobaltStrike,,high,,
ipv4,123.60.135.22,,CobaltStrike,,high,,
ipv4,121.43.174.203,,CobaltStrike,,high,,
ipv4,120.77.150.119,,CobaltStrike,,high,,
ipv4,43.138.30.109,,CobaltStrike,,high,,
ipv4,95.214.234.74,,CobaltStrike,,high,,
ipv4,38.54.30.122,,CobaltStrike,,high,,
sha256,d25d0df1669dc0f2c1eff862518b263fb3ced9e4ec2a150de6af06939dd9738e,,CobaltStrike,,high,,
ipv4,101.43.68.65,,CobaltStrike,,high,,
ipv4,103.143.81.60,,CobaltStrike,,high,,
ipv4,192.210.216.213,,CobaltStrike,,high,,
ipv4,154.39.150.234,,CobaltStrike,,high,,
ipv4,124.222.175.174,,CobaltStrike,,high,,
ipv4,23.95.190.179,,CobaltStrike,,high,,
ipv4,198.46.182.57,,CobaltStrike,,high,,
ipv4,47.109.61.200,,CobaltStrike,,high,,
ipv4,8.130.115.187,,CobaltStrike,,high,,
ipv4,38.6.177.76,,CobaltStrike,,high,,
ipv4,36.133.13.63,,CobaltStrike,,high,,
ipv4,23.94.49.188,,CobaltStrike,,high,,
ipv4,182.64.23.148,,CobaltStrike,,high,,
ipv4,38.6.219.44,,CobaltStrike,,high,,
ipv4,47.99.78.222,,CobaltStrike,,high,,
ipv4,39.96.178.75,,CobaltStrike,,high,,
ipv4,198.46.182.59,,CobaltStrike,,high,,
ipv4,192.227.245.182,,CobaltStrike,,high,,
sha256,9b05e5b29809ad9f77127c4bc9e563257b68175bf55aff7ec85b858cb01c8684,,CobaltStrike,,high,,
sha256,4def22c51fea8c4114321733ca506efced17ea426f1c5a518905a93f6c20fa34,,CobaltStrike,,high,,
sha256,ed14a8886c207595360dbc904914f5113a656951d9aafc748d56d0e9b8f70742,,CobaltStrike,,high,,
sha256,f83bee2e9d7c8ead88c3d0b761339bfa232e14803608a17e60582516e6559ae0,,CobaltStrike,,high,,
sha256,65fa4b4c8ba39ca1e2e853cf6bccf1737cc350e362d9ff7bb04dc0dae75a103f,,CobaltStrike,,high,,
sha256,a1b36b37454873c6afe0f5822e343a029b9724ee07ec6ae4243d5a688e9a84c7,,CobaltStrike,,high,,
sha1,cdc7e68c600ca4de4581e3e23c024d6863772744,,CobaltStrike,,high,,
md5,155a39f44f7fc30f5970a75415e0e4df,,CobaltStrike,,high,,
md5,3177f3e38f96a0574b0f2ef303856dda,,CobaltStrike,,high,,
md5,9e0faddafaea762928cd730f3a7934bf,,CobaltStrike,,high,,
sha1,0cc80db945b6e836de17f217c43dbd5426e165e4,,CobaltStrike,,high,,
sha1,a29bf6b9dd6fba191369ae90b74d4290ab6997b8,,CobaltStrike,,high,,
ipv4,116.204.24.189,,CobaltStrike,,high,,
domain,service-9cjgv9d1-1327547884.bj.tencentapigw.com.cn,,CobaltStrike,,high,,
domain,rendnar.link,,CobaltStrike,,high,,
ipv4,121.43.230.160,,CobaltStrike,,high,,
ipv4,121.40.117.196,,CobaltStrike,,high,,
ipv4,120.53.236.103,,CobaltStrike,,high,,
ipv4,23.224.143.16,,CobaltStrike,,high,,
ipv4,103.40.161.76,,CobaltStrike,,high,,
ipv4,66.42.60.7,,CobaltStrike,,high,,
ipv4,223.255.246.169,,CobaltStrike,,high,,
ipv4,155.94.204.114,,CobaltStrike,,high,,
ipv4,139.9.117.95,,CobaltStrike,,high,,
ipv4,134.175.124.170,,CobaltStrike,,high,,
ipv4,124.221.226.243,,CobaltStrike,,high,,
ipv4,106.14.69.133,,CobaltStrike,,high,,
ipv4,154.204.178.211,,CobaltStrike,,high,,
sha256,4e137dda612129b09c80e1d56ef1c72a01e41c113f33455fe68cfc04b8bc1b8d,,CobaltStrike,,high,,
ipv4,185.162.130.23,,CobaltStrike,,high,,
ipv4,179.43.172.148,,CobaltStrike,,high,,
ipv4,111.90.150.154,,CobaltStrike,,high,,
ipv4,111.90.150.123,,CobaltStrike,,high,,
ipv4,103.155.93.244,,CobaltStrike,,high,,
ipv4,103.155.93.120,,CobaltStrike,,high,,
ipv4,101.99.75.215,,CobaltStrike,,high,,
ipv4,101.99.75.178,,CobaltStrike,,high,,
cve,CVE-2024-2194,,CobaltStrike,,high,,
cve,CVE-2023-6961,,CobaltStrike,,high,,
cve,CVE-2023-40000,,CobaltStrike,,high,,
domain,ur.mystiqueapi.com,,CobaltStrike,,high,,
