type,value,description,threat_actor,campaign,confidence,source,tags
sha256,613631686aea4c2be25f0bd2dd7aba3f023739373b426eb363992d8489a26d14,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,30cc52d1e1e3c544e186d2166f870cedb1e3f9472f6d7aad0fea0cf2d7040347,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,0004b033ed1ec504b0bcd5471cd61850ac872d4e1c198d4c1e0360918df5aebf,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,04eed57320f2d1ff8924cd62a211f63895d8b5d53ae0b38502197335207e26a6,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,9c2ab621533f49dd833acf1df253371ceb5b533cfc7e6f44667c2a8641e86ce6,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,dbb178a385680a20afc59048b396d30e745e5bac1ff1163d0a3c713c06fc89ea,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,7eab00634a6b9f1866f2e74987d7f619215a45e34a421e7746e3c49ee148874e,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,75aa5849eea643aad1f9a485dbf9898511395ab19bde6214002fac5447be8277,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,598db3e9386fc4213d7d02b4d79e64761d4dfdd4202ca244e545d19f4b0f8ece,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,c536c337a2a6eefb82e0459ea207dbc5fc584826294be5f2e6020fa54451166e,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,b9123df13d9862a618dd3007b1eedc558dd68ccf983025fcad21bf536c8d30ba,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,5e75aa2e0055f1225c45ab1902101d3a821dc9584f61534821715e67e2821573,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,141adee79ed2ce22937c3abeabebe03deb711f51030c8d0e8a24e26b70468bd9,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,943cc42b546e35b7a9f3c72c55e5cc0a8ea4593877d7aabc2f461595d43d6728,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,d9ead920368b2f7a1c60e104ba0314fe5c8691da2525e5d776587df138558aeb,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,d8c35d8491c858d171175d2d478806c1a53478316e85b8f814e79e502b3015dd,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,c0814d74914ba22ccf3e1d268cf3e24e8f496cac38497b08756573f979494de0,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,365af25a835580b170239e630edd3ab014269d35cd738d94a6fbfdafb931b491,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,30d97d420f2ffe75cc4fb1af0356537204f084a0e8eae9b9b26ee26b5f05cf4c,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,838e7280d139e982224be1d2f67a85c59050d359a59d15a115ef01d4c1983515,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,b5b0af1c1aca4326c3fbda711ffb5ab9827b476cd80da9f892dd6c3109d8d153,Ghost Tap NFC malware APK sample (TX-NFC packed with 360 Jiagu),,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;tx-nfc;360jiagu
sha256,2883604a5d6b5664ee314437ffd57145826668cb81db0641b1f3917ac1d55d1e,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,03ac99d62a5d72248358a14a75c51d3324a453f0342829ca0787349c4e2e95c5,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,09254c38d521b61582dc4cc7889d8d14735f1f2a8128eef54e7e3bfa05309ea7,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,18ff8b56cf4364065c1ea75fec4bb580903d4254059f6aeba0d229c1606fc2fe,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,d88f10e2ac0d73f9bb0d6fa5acc6c85c34459ab76c7a1b78dc22d00ad4547c2f,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,a04ce09802ba6e45d26179dbd3d2d114af7c8d19110b43dd06f49b563e3829d9,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,34b67a2dca6152d93280e2c6487058d141f7383ed5edd12ff1d80330cc98fcf1,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,0b2d7d83ae7724102713e632920a93d08b9257a20d18002ff332cd5febf59837,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,2ff79fa1317a04f52d16b09dd8ca9a863cf176bf11410721a8592e1ebff598cf,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,e44a30abf87f1b4403a7342c1447232d547bcf941ca001623802cd0d14f4d576,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,9624fad943b1fc73d25c583f9bd9985d15e62cfe4a3db150f4f24b0cf48e52f1,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,966007f0de4be060426050a2176561ee299e2f9bf6e718c3de8ce27e14943783,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,c741047bebd677db945ddb204629fe12d8112dac52dfd8010057aab6314d42c1,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,710d1a6cfe6d428de8aaeab55674bb22bab0ad044cc70b132659490a79f198e8,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,9e5031688b1b0ee32ddb851e64c33bab6142cab51b27230e5bcf633467d90b10,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,3888e1394a803dc5ecdc3717298cee5037bcab98888538f2d051b90d7237e89e,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,abecec0988075e28dfb2fb14aa8ccd721935d0e3371f6ddaf9ab2407d927153f,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,4495b3fd162b5df16921f1114f4d85f38dd7ba4644a19d681c40fefebb597efb,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,9a9631ab469600514fd0bd30fe34a6daf90ca58bcf5bde5a872218422aeea7c6,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,138d417d48677c8ddb6b9371b7f792272c99f996a15e0b79bef8aacdb2ca1445,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,b5e7b5c93500051787a9f3ee43ba47404ee762ef2477de7db4c74204278d2e05,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,b31177a046ddaa4822e137c0c91a15cc250de285dcac534724cc61262397ebde,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,fc2c8cd05ef53d21b1c64dd9f9b826e996a2a2931b5d1f7a00d210a40d48deac,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,9a9494b0dd3819c7b23f77b9caafca9896e74252efeb24d253a053da5c6e9085,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,37d37b96f62899c27c27b2abff9e7e9f0e74de27d963a896c45fb18de4575a7b,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,c1a6a6e6b80b5bcdd71ba3a9abbac789a32aa9a727a2cb4777fddf9055ea6869,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,2149d796535e0eb084820976a6c7a036786760adfc14332632dc0f2ee020ee5b,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,282156d15c07da7aecf15fb7d1744a1283e8a3f5bb055815ba8108ede0ace588,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,8635a715da2430542c7cb90e94b3c1fe0f95dcd8c7ed837d0fa4a4ce643db6c7,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,2bbfc301c87ab123c0295bb4c07b977c2557e81ef79faf475efc859e30637475,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,28eeb9e47996434c07e84b733931f2b801cda21032e9af5d25f170454339f479,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,eddb450375a4c2de5215f92bee50aa5f132051f19c8dd265ac10dda20118a8dd,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha256,282712a57768b1bc4cea5764e0b045546f281a4da0fd58d346f09499f892ba7a,Ghost Tap NFC malware APK sample,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk;ghost-tap
sha1,4243d0a770a5d91480ea600ab4fcc6464eccb31d,Ghost Tap APK,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk
sha1,cabbb00f66713caf38412fb330e75456a68d0d8c,Ghost Tap APK,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk
sha1,83ed2b9da7765451873d10a6490185fdf9817647,Ghost Tap APK,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk
sha1,5e69f16d7b3015cf50b81d3985b524e2472a92d9,Ghost Tap APK,,2024-08_GhostTap-NFC,high,Group-IB,android;nfc;apk
